Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Total.Injuries
Accident,SEA87LA080,1948-10-24,"MOOSE CREEK, ID",United States,Fatal(2),Destroyed,unknown,stinson,108-3,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,UNK,Cruise,2.0
Accident,LAX94LA336,1962-07-19,"BRIDGEPORT, CA",United States,Fatal(4),Destroyed,unknown,piper,PA24-180,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,UNK,Unknown,4.0
Accident,NYC07LA005,1974-08-30,"Saltville, VA",United States,Fatal(3),Destroyed,unknown,cessna,172M,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Cruise,3.0
Accident,LAX96LA321,1977-06-19,"EUREKA, CA",United States,Fatal(2),Destroyed,unknown,rockwell,112,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,2.0
Accident,CHI79FA064,1979-08-02,"Canton, OH",United States,Fatal(1),Destroyed,unknown,cessna,501,No,0.0,unknown,Personal,1.0,2.0,0.0,0.0,VMC,Approach,3.0
Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,Non-Fatal,Substantial,Airplane,mcdonnell douglas,DC9,No,2.0,Turbo Fan,unknown,0.0,0.0,1.0,44.0,VMC,Climb,1.0
Accident,CHI81LA106,1981-08-01,"COTTON, MN",United States,Fatal(4),Destroyed,unknown,cessna,180,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Unknown,4.0
Accident,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,Non-Fatal,Substantial,Airplane,cessna,140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,Non-Fatal,Substantial,Airplane,cessna,401B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Landing,0.0
Accident,MIA82DA029,1982-01-01,"JACKSONVILLE, FL",United States,Non-Fatal,Substantial,unknown,north american,NAVION L-17B,No,1.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,IMC,Cruise,3.0
Accident,FTW82DA034,1982-01-01,"HOBBS, NM",United States,Non-Fatal,Substantial,unknown,piper,PA-28-161,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,0.0
Accident,ATL82DKJ10,1982-01-01,"TUSKEGEE, AL",United States,Non-Fatal,Substantial,unknown,beech,V35B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,FTW82FRJ07,1982-01-02,"HOMER, LA",United States,Non-Fatal,Destroyed,Airplane,bellanca,17-30A,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Cruise,1.0
